State,Soil Type,Previous Crop,Fertilizer Used,Water Hardness,Livestock,Resources,Temperature,Rainfall,Recommend Crop,Required Water,Required Fertilizer,Crop Protection Tip,Limited Resources Tip,Predicted Disease,Disease Prevention Tip
Andhra Pradesh,Black Cotton,Sugarcane,Urea,Soft,Goats,None,37,1,Banana,3000,Urea: 80 kg/ha,Use netting to deter birds,Use manual weeding,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Black Cotton,Maize,Compost,Hard,Poultry,Seed Drill,34,3,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use organic compost,Red rot in sugarcane,Apply fungicides
Andhra Pradesh,Black Cotton,Mango,DAP,Hard,Buffalo,Power Tiller,23,1,Tobacco,2500,Urea: 120 kg/ha,Fence fields to keep goats away,Collect rainwater for irrigation,Anthracnose in mango,Use organic pest control
Andhra Pradesh,Loamy,Wheat,NPK,Soft,Cows,None,28,2,Mango,1200,Compost: 2500 kg/ha,Use organic pesticides,Use manual weeding,Wilt in cotton,Use organic pest control
Andhra Pradesh,Sandy,Mustard,NPK,Soft,Buffalo,Sprayer,23,1,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Practice intercropping,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Red Sandy,Pulses,DAP,Hard,Goats,Power Tiller,40,3,Pulses,1000,DAP: 100 kg/ha,Use netting to deter birds,Collect rainwater for irrigation,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Clay,Rice,NPK,Soft,Buffalo,None,36,1,Chili,1600,NPK: 180 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Blast in rice,Use resistant varieties
Andhra Pradesh,Clay,Wheat,Compost,Soft,Poultry,Seed Drill,31,2,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Wilt in cotton,Use resistant varieties
Andhra Pradesh,Sandy,Maize,NPK,Soft,Poultry,Rotavator,29,1,Groundnut,1500,Compost: 2000 kg/ha,Fence fields to keep goats away,Use manual weeding,Blast in rice,Use organic pest control
Andhra Pradesh,Black Cotton,Groundnut,Compost,Hard,Buffalo,None,27,1,Chili,1600,NPK: 180 kg/ha,Fence fields to keep goats away,Practice intercropping,Anthracnose in mango,Apply fungicides
Andhra Pradesh,Loamy,Tobacco,NPK,Soft,None,Brush Cutter,37,3,Pulses,1000,DAP: 100 kg/ha,Use organic pesticides,Use organic compost,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Loamy,Sugarcane,DAP,Hard,None,None,21,2,Mango,1200,Compost: 2500 kg/ha,Use netting to deter birds,Use organic compost,Wilt in cotton,Apply fungicides
Andhra Pradesh,Loamy,Groundnut,Compost,Hard,Goats,None,29,1,Mango,1200,Compost: 2500 kg/ha,Use organic pesticides,Use manual weeding,Anthracnose in mango,Apply fungicides
Andhra Pradesh,Sandy,Sugarcane,NPK,Hard,Cows,None,23,2,Chili,1600,NPK: 180 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Blast in rice,Use organic pest control
Andhra Pradesh,Loamy,Groundnut,Urea,Soft,Buffalo,Trailer,39,3,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Use organic compost,Wilt in cotton,Use organic pest control
Andhra Pradesh,Clay,Mustard,Urea,Hard,Poultry,Plough,23,3,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Blast in rice,Ensure proper drainage
Andhra Pradesh,Clay,Mustard,Compost,Soft,Goats,Plough,33,1,Cotton,2000,DAP: 150 kg/ha,Use netting to deter birds,Use organic compost,Blast in rice,Ensure proper drainage
Andhra Pradesh,Red Sandy,Cotton,NPK,Soft,None,Combine,29,3,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Practice intercropping,Blast in rice,Use resistant varieties
Andhra Pradesh,Black Cotton,Sugarcane,DAP,Soft,Buffalo,Cultivator,38,2,Cotton,2000,DAP: 150 kg/ha,Use organic pesticides,Practice intercropping,Blast in rice,Apply fungicides
Andhra Pradesh,Sandy,Mustard,DAP,Hard,Poultry,Harvester,22,1,Sugarcane,4000,NPK: 250 kg/ha,Use netting to deter birds,Use manual weeding,Leaf curl in chili,Use organic pest control
Andhra Pradesh,Clay,Mustard,DAP,Soft,Cows,Trailer,27,3,Sugarcane,4000,NPK: 250 kg/ha,Use netting to deter birds,Practice intercropping,Red rot in sugarcane,Use resistant varieties
Andhra Pradesh,Black Cotton,Sugarcane,Urea,Soft,Poultry,Power Weeder,34,2,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Sandy,Sugarcane,DAP,Hard,Poultry,Power Tiller,30,3,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use organic compost,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Black Cotton,Mustard,NPK,Soft,Cows,None,31,2,Banana,3000,Urea: 80 kg/ha,Use netting to deter birds,Use manual weeding,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Sandy,Tobacco,NPK,Soft,None,None,36,3,Banana,3000,Urea: 80 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Sandy,Tobacco,DAP,Hard,None,None,37,1,Banana,3000,Urea: 80 kg/ha,Use organic pesticides,Use organic compost,Wilt in cotton,Use resistant varieties
Andhra Pradesh,Black Cotton,Rice,NPK,Soft,None,None,22,2,Banana,3000,Urea: 80 kg/ha,Use netting to deter birds,Collect rainwater for irrigation,Wilt in cotton,Apply fungicides
Andhra Pradesh,Loamy,Maize,Urea,Soft,None,None,27,1,Mango,1200,Compost: 2500 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Anthracnose in mango,Apply fungicides
Andhra Pradesh,Loamy,Maize,Compost,Hard,Goats,Rotavator,33,1,Groundnut,1500,Compost: 2000 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Blast in rice,Use organic pest control
Andhra Pradesh,Black Cotton,Groundnut,Urea,Hard,Cows,Cultivator,28,2,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Loamy,Mustard,Compost,Hard,Poultry,Sprayer,31,2,Groundnut,1500,Compost: 2000 kg/ha,Use netting to deter birds,Use organic compost,Leaf curl in chili,Use organic pest control
Andhra Pradesh,Clay,Wheat,NPK,Hard,Buffalo,None,38,3,Banana,3000,Urea: 80 kg/ha,Use organic pesticides,Use manual weeding,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Red Sandy,Rice,NPK,Soft,None,Thrasher,20,3,Pulses,1000,DAP: 100 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Loamy,Groundnut,Compost,Hard,Cows,Plough,31,1,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Sandy,Sugarcane,NPK,Soft,Buffalo,Seed Drill,27,3,Pulses,1000,DAP: 100 kg/ha,Fence fields to keep goats away,Practice intercropping,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Red Sandy,Sugarcane,Compost,Hard,Cows,Cultivator,20,1,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Leaf curl in chili,Use organic pest control
Andhra Pradesh,Clay,Tobacco,DAP,Hard,Goats,Sprayer,29,3,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Practice intercropping,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Clay,Rice,Compost,Soft,None,Rotavator,29,3,Groundnut,1500,Compost: 2000 kg/ha,Use netting to deter birds,Practice intercropping,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Clay,Tobacco,NPK,Soft,Poultry,Rake,26,3,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Use manual weeding,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Loamy,Pulses,Compost,Soft,None,Harvester,35,1,Groundnut,1500,Compost: 2000 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Root rot in groundnut,Use organic pest control
Andhra Pradesh,Black Cotton,Rice,Urea,Soft,Cows,Plough,34,3,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Black Cotton,Tobacco,NPK,Hard,Goats,Harvester,20,2,Groundnut,1500,Compost: 2000 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Blast in rice,Ensure proper drainage
Andhra Pradesh,Sandy,Sugarcane,Compost,Hard,Cows,Rotavator,33,1,Sugarcane,4000,NPK: 250 kg/ha,Use netting to deter birds,Collect rainwater for irrigation,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Red Sandy,Cotton,NPK,Hard,None,Harvester,35,2,Groundnut,1500,Compost: 2000 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Blast in rice,Apply fungicides
Andhra Pradesh,Red Sandy,Wheat,Urea,Soft,Poultry,Power Tiller,30,3,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use manual weeding,Red rot in sugarcane,Apply fungicides
Andhra Pradesh,Loamy,Pulses,Urea,Soft,None,Combine,40,1,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Sandy,Maize,DAP,Hard,Poultry,Brush Cutter,20,1,Pulses,1000,DAP: 100 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Clay,Maize,Compost,Hard,Buffalo,Cultivator,38,1,Maize,1800,NPK: 200 kg/ha,Use netting to deter birds,Use organic compost,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Sandy,Sugarcane,Compost,Hard,Poultry,None,31,3,Chili,1600,NPK: 180 kg/ha,Use netting to deter birds,Collect rainwater for irrigation,Red rot in sugarcane,Apply fungicides
Andhra Pradesh,Sandy,Wheat,DAP,Hard,Poultry,Power Tiller,29,3,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Use organic compost,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Sandy,Groundnut,DAP,Soft,Goats,None,23,1,Chili,1600,NPK: 180 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Blast in rice,Apply fungicides
Andhra Pradesh,Black Cotton,Mango,NPK,Hard,Cows,Trailer,40,2,Sugarcane,4000,NPK: 250 kg/ha,Use organic pesticides,Practice intercropping,Blast in rice,Use resistant varieties
Andhra Pradesh,Loamy,Tobacco,DAP,Hard,None,None,31,3,Chili,1600,NPK: 180 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Black Cotton,Groundnut,DAP,Soft,Goats,Power Tiller,20,2,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Practice intercropping,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Red Sandy,Maize,DAP,Hard,Buffalo,Power Tiller,23,1,Pulses,1000,DAP: 100 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Clay,Pulses,Urea,Hard,Goats,Brush Cutter,34,1,Pulses,1000,DAP: 100 kg/ha,Fence fields to keep goats away,Practice intercropping,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Black Cotton,Maize,DAP,Soft,Poultry,None,32,2,Mango,1200,Compost: 2500 kg/ha,Use organic pesticides,Use organic compost,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Sandy,Groundnut,NPK,Hard,Poultry,Combine,32,2,Maize,1800,NPK: 200 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Wilt in cotton,Apply fungicides
Andhra Pradesh,Red Sandy,Maize,NPK,Hard,Poultry,None,35,2,Mango,1200,Compost: 2500 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Blast in rice,Use organic pest control
Andhra Pradesh,Loamy,Cotton,NPK,Soft,Goats,Harvester,22,1,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Practice intercropping,Blast in rice,Apply fungicides
Andhra Pradesh,Loamy,Groundnut,NPK,Hard,Goats,Cultivator,38,1,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Loamy,Mango,Urea,Soft,Buffalo,Seed Drill,39,2,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Practice intercropping,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Clay,Wheat,NPK,Hard,Buffalo,Power Weeder,23,1,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Wilt in cotton,Use organic pest control
Andhra Pradesh,Loamy,Groundnut,Urea,Hard,None,Trailer,21,3,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Clay,Tobacco,DAP,Soft,Goats,None,28,1,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Collect rainwater for irrigation,Anthracnose in mango,Use organic pest control
Andhra Pradesh,Clay,Mango,Urea,Soft,None,Harvester,26,2,Sugarcane,4000,NPK: 250 kg/ha,Use netting to deter birds,Practice intercropping,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Loamy,Wheat,Urea,Soft,Cows,Power Weeder,24,2,Cotton,2000,DAP: 150 kg/ha,Fence fields to keep goats away,Use organic compost,Wilt in cotton,Use organic pest control
Andhra Pradesh,Black Cotton,Tobacco,Compost,Soft,Goats,Harvester,29,2,Groundnut,1500,Compost: 2000 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Leaf curl in chili,Ensure proper drainage
Andhra Pradesh,Loamy,Pulses,Urea,Soft,Cows,Brush Cutter,38,3,Pulses,1000,DAP: 100 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Blast in rice,Ensure proper drainage
Andhra Pradesh,Red Sandy,Tobacco,NPK,Hard,Cows,None,33,3,Chili,1600,NPK: 180 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Clay,Rice,Urea,Soft,Buffalo,Power Tiller,25,2,Groundnut,1500,Compost: 2000 kg/ha,Fence fields to keep goats away,Use organic compost,Wilt in cotton,Apply fungicides
Andhra Pradesh,Black Cotton,Mango,Urea,Hard,Poultry,None,23,1,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Collect rainwater for irrigation,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Red Sandy,Tobacco,Urea,Soft,Buffalo,Cultivator,23,1,Maize,1800,NPK: 200 kg/ha,Fence fields to keep goats away,Collect rainwater for irrigation,Wilt in cotton,Use organic pest control
Andhra Pradesh,Loamy,Wheat,DAP,Soft,Goats,Power Tiller,24,1,Tobacco,2500,Urea: 120 kg/ha,Use organic pesticides,Practice intercropping,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Sandy,Groundnut,DAP,Soft,None,Power Tiller,20,1,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use organic compost,Blast in rice,Apply fungicides
Andhra Pradesh,Red Sandy,Wheat,NPK,Soft,Poultry,Combine,23,1,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Red Sandy,Wheat,NPK,Hard,Goats,Power Tiller,32,2,Tobacco,2500,Urea: 120 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Clay,Tobacco,NPK,Soft,None,Plough,33,3,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Use manual weeding,Wilt in cotton,Use resistant varieties
Andhra Pradesh,Red Sandy,Sugarcane,Compost,Hard,Buffalo,Cultivator,32,1,Tobacco,2500,Urea: 120 kg/ha,Use netting to deter birds,Practice intercropping,Root rot in groundnut,Use resistant varieties
Andhra Pradesh,Black Cotton,Pulses,Urea,Soft,Buffalo,Seed Drill,33,2,Pulses,1000,DAP: 100 kg/ha,Use netting to deter birds,Use organic compost,Blast in rice,Use organic pest control
Andhra Pradesh,Sandy,Pulses,Urea,Soft,Poultry,Power Weeder,33,2,Cotton,2000,DAP: 150 kg/ha,Rotate crops to prevent soil depletion,Collect rainwater for irrigation,Wilt in cotton,Use resistant varieties
Andhra Pradesh,Red Sandy,Mango,Compost,Soft,Cows,Harvester,34,3,Groundnut,1500,Compost: 2000 kg/ha,Use organic pesticides,Practice intercropping,Root rot in groundnut,Ensure proper drainage
Andhra Pradesh,Sandy,Pulses,Compost,Hard,Cows,Rotavator,22,1,Sugarcane,4000,NPK: 250 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Red Sandy,Mango,Compost,Hard,None,None,24,1,Mango,1200,Compost: 2500 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Root rot in groundnut,Use resistant varieties
Andhra Pradesh,Black Cotton,Maize,Compost,Hard,Buffalo,Brush Cutter,29,3,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Use manual weeding,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Red Sandy,Wheat,Urea,Hard,Goats,Sprayer,30,1,Maize,1800,NPK: 200 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Black Cotton,Rice,Urea,Soft,None,Power Weeder,27,1,Cotton,2000,DAP: 150 kg/ha,Fence fields to keep goats away,Use manual weeding,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Red Sandy,Mustard,Compost,Soft,Poultry,Sprayer,28,1,Groundnut,1500,Compost: 2000 kg/ha,Fence fields to keep goats away,Use organic compost,Root rot in groundnut,Use organic pest control
Andhra Pradesh,Black Cotton,Groundnut,NPK,Hard,None,None,34,3,Mango,1200,Compost: 2500 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Loamy,Tobacco,NPK,Soft,Cows,None,25,1,Banana,3000,Urea: 80 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Clay,Mango,Compost,Soft,Buffalo,Cultivator,39,2,Tobacco,2500,Urea: 120 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Red Sandy,Pulses,Compost,Soft,Goats,Rotavator,25,3,Sugarcane,4000,NPK: 250 kg/ha,Use organic pesticides,Practice intercropping,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Loamy,Cotton,Urea,Hard,Buffalo,Cultivator,26,1,Tobacco,2500,Urea: 120 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Black Cotton,Cotton,Compost,Hard,Goats,None,26,1,Chili,1600,NPK: 180 kg/ha,Use organic pesticides,Use manual weeding,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Black Cotton,Mustard,Compost,Hard,Buffalo,Combine,27,2,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Use organic compost,Blast in rice,Use organic pest control
Andhra Pradesh,Sandy,Maize,NPK,Hard,None,Power Tiller,32,2,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Collect rainwater for irrigation,Leaf curl in chili,Use organic pest control
Andhra Pradesh,Black Cotton,Rice,Compost,Soft,Goats,Cultivator,35,2,Tobacco,2500,Urea: 120 kg/ha,Use netting to deter birds,Use organic compost,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Black Cotton,Groundnut,DAP,Hard,Goats,Power Tiller,36,1,Pulses,1000,DAP: 100 kg/ha,Use netting to deter birds,Practice intercropping,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Sandy,Mango,Compost,Soft,Goats,Seed Drill,40,1,Rice,5000,Urea: 100 kg/ha,Use organic pesticides,Use organic compost,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Loamy,Sugarcane,Urea,Soft,Cows,Power Tiller,30,2,Maize,1800,NPK: 200 kg/ha,Rotate crops to prevent soil depletion,Use manual weeding,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Black Cotton,Tobacco,Compost,Soft,Cows,Seed Drill,35,2,Rice,5000,Urea: 100 kg/ha,Rotate crops to prevent soil depletion,Use organic compost,Anthracnose in mango,Use organic pest control
Andhra Pradesh,Sandy,Wheat,NPK,Soft,Buffalo,Combine,20,2,Maize,1800,NPK: 200 kg/ha,Use organic pesticides,Practice intercropping,Anthracnose in mango,Use resistant varieties
Andhra Pradesh,Sandy,Wheat,Urea,Soft,Buffalo,Power Tiller,22,1,Pulses,1000,DAP: 100 kg/ha,Use netting to deter birds,Use organic compost,Anthracnose in mango,Use organic pest control
Andhra Pradesh,Black Cotton,Mango,NPK,Hard,Poultry,None,25,2,Chili,1600,NPK: 180 kg/ha,Fence fields to keep goats away,Use organic compost,Leaf curl in chili,Apply fungicides
Andhra Pradesh,Loamy,Maize,DAP,Soft,Cows,None,23,3,Chili,1600,NPK: 180 kg/ha,Use organic pesticides,Practice intercropping,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Red Sandy,Sugarcane,NPK,Hard,Goats,None,32,3,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Use resistant varieties
Andhra Pradesh,Red Sandy,Groundnut,Compost,Hard,Cows,Power Tiller,22,3,Maize,1800,NPK: 200 kg/ha,Use netting to deter birds,Use manual weeding,Anthracnose in mango,Ensure proper drainage
Andhra Pradesh,Sandy,Tobacco,Urea,Hard,None,Rotavator,26,3,Sugarcane,4000,NPK: 250 kg/ha,Use netting to deter birds,Use organic compost,Red rot in sugarcane,Ensure proper drainage
Andhra Pradesh,Clay,Maize,Urea,Soft,None,Brush Cutter,22,1,Pulses,1000,DAP: 100 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Black Cotton,Mango,Compost,Hard,None,Seed Drill,38,2,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use organic compost,Blast in rice,Apply fungicides
Andhra Pradesh,Clay,Groundnut,DAP,Hard,Buffalo,Harvester,40,3,Sugarcane,4000,NPK: 250 kg/ha,Fence fields to keep goats away,Use organic compost,Red rot in sugarcane,Use resistant varieties
Andhra Pradesh,Clay,Tobacco,NPK,Soft,Cows,Thrasher,33,3,Pulses,1000,DAP: 100 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Use organic pest control
Andhra Pradesh,Red Sandy,Wheat,DAP,Hard,Buffalo,Power Tiller,36,2,Rice,5000,Urea: 100 kg/ha,Fence fields to keep goats away,Use manual weeding,Root rot in groundnut,Use organic pest control
Andhra Pradesh,Black Cotton,Cotton,DAP,Hard,Poultry,Rake,35,3,Tobacco,2500,Urea: 120 kg/ha,Use netting to deter birds,Use manual weeding,Wilt in cotton,Use organic pest control
Andhra Pradesh,Black Cotton,Cotton,Urea,Hard,Poultry,Combine,25,1,Maize,1800,NPK: 200 kg/ha,Fence fields to keep goats away,Use organic compost,Leaf curl in chili,Use resistant varieties
Andhra Pradesh,Red Sandy,Maize,Compost,Hard,Cows,None,22,1,Mango,1200,Compost: 2500 kg/ha,Use organic pesticides,Use manual weeding,Blast in rice,Ensure proper drainage
Andhra Pradesh,Clay,Mango,NPK,Soft,Goats,None,35,3,Chili,1600,NPK: 180 kg/ha,Fence fields to keep goats away,Collect rainwater for irrigation,Wilt in cotton,Ensure proper drainage
Andhra Pradesh,Sandy,Cotton,Urea,Hard,Goats,Combine,39,2,Maize,1800,NPK: 200 kg/ha,Fence fields to keep goats away,Use manual weeding,Wilt in cotton,Use organic pest control
Andhra Pradesh,Loamy,Sugarcane,DAP,Hard,Buffalo,Brush Cutter,20,3,Pulses,1000,DAP: 100 kg/ha,Fence fields to keep goats away,Use manual weeding,Red rot in sugarcane,Use resistant varieties
Andhra Pradesh,Red Sandy,Groundnut,DAP,Soft,Goats,None,36,3,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Use organic compost,Red rot in sugarcane,Apply fungicides
Andhra Pradesh,Clay,Cotton,NPK,Soft,Poultry,None,20,3,Chili,1600,NPK: 180 kg/ha,Rotate crops to prevent soil depletion,Practice intercropping,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Red Sandy,Mustard,Urea,Hard,None,Rotavator,34,1,Groundnut,1500,Compost: 2000 kg/ha,Use netting to deter birds,Practice intercropping,Root rot in groundnut,Apply fungicides
Andhra Pradesh,Loamy,Mango,NPK,Hard,None,None,40,1,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Use manual weeding,Blast in rice,Use organic pest control
Andhra Pradesh,Red Sandy,Pulses,NPK,Soft,Cows,None,28,2,Mango,1200,Compost: 2500 kg/ha,Use organic pesticides,Use organic compost,Red rot in sugarcane,Use organic pest control
Andhra Pradesh,Red Sandy,Pulses,Compost,Soft,Cows,None,26,1,Mango,1200,Compost: 2500 kg/ha,Fence fields to keep goats away,Use organic compost,Anthracnose in mango,Apply fungicides
